,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
48,-0.053854626,0.4405897,-0.31449208,-0.5506894,-0.035036378,-0.6046261,0.5028385,0.7742397,-0.061954204,-0.28543982,-0.57669413,0.06433249,-0.028270088,-0.03774073,-0.08506801,0.5483621
49,0.019793335,0.49133593,-0.31449208,-0.6088938,0.024891507,-0.6739377,0.5616904,0.8624814,0.0074956156,-0.28543982,-0.63455594,0.011391696,-0.12046633,-0.03774073,-0.08506801,0.6156428
50,-0.0057992255,0.5182735,-0.31449208,-0.6491044,0.0071700937,-0.70567375,0.5917769,0.9126799,-0.013038674,-0.28543982,-0.6683903,0.028410848,-0.09100052,-0.03774073,-0.08506801,0.64705545
51,-0.08156351,0.49156973,-0.31449208,-0.62366986,-0.052520312,-0.66614616,0.5602379,0.86830324,-0.08240361,-0.28543982,-0.639541,0.082147,0.0021405201,-0.03774073,-0.08506801,0.6092157
52,-0.06245038,0.5188266,-0.31449208,-0.6575263,-0.035603937,-0.70138043,0.5916345,0.916037,-0.06305937,-0.28543982,-0.6708884,0.06804946,-0.022951327,-0.03774073,-0.08506801,0.64378864
53,0.021253774,0.5434623,-0.31449208,-0.67878884,0.029943295,-0.7382001,0.6206417,0.9556316,0.01362838,-0.28543982,-0.6964819,0.008733471,-0.12589145,-0.03774073,-0.08506801,0.6788789
54,0.010804583,0.5439898,-0.31449208,-0.68066365,0.022289975,-0.737543,0.62111205,0.95645946,0.0046435846,-0.28543982,-0.69695437,0.016052857,-0.11363685,-0.03774073,-0.08506801,0.6785137
55,-0.09449118,0.5443639,-0.31449208,-0.6959808,-0.057837617,-0.72942877,0.6199057,0.96248347,-0.08868578,-0.28543982,-0.7018824,0.08963096,0.013486728,-0.03774073,-0.08506801,0.67198586
56,-0.13434869,0.5445825,-0.31449208,-0.701765,-0.08800615,-0.7263486,0.61962014,0.96475357,-0.12397617,-0.28543982,-0.703612,0.117522284,0.06146812,-0.03774073,-0.08506801,0.6695991
57,-0.1345144,0.5451623,-0.31449208,-0.70233554,-0.08799213,-0.72656953,0.6201711,0.9651198,-0.1237851,-0.28543982,-0.70384485,0.11759106,0.061393,-0.03774073,-0.08506801,0.669849
58,-0.1218073,0.5454837,-0.31449208,-0.70074654,-0.07809012,-0.7276568,0.6207642,0.9645609,-0.11231538,-0.28543982,-0.70322675,0.10872799,0.045775387,-0.03774073,-0.08506801,0.6708512
